studentid,gender,agegroup,continent,background
1040882,F,25,Unknown,C
1040883,F,25,Asia,C
1040884,M,45,North America,C
1040885,M,25,Unknown,A
1040886,M,45,Unknown,A
1040887,F,25,South America,B
1040888,M,18,Unknown,B
1040889,M,65,Asia,B
1040890,M,25,Unknown,A
1040891,F,25,Europe,B
1040892,M,35,Asia,B
1040893,M,18,North America,C
1040894,M,55,Europe,A
1040895,M,35,Africa,D
1040896,F,35,North America,D
1040897,M,25,Africa,A
1040898,M,25,Africa,B
1040899,M,25,Unknown,C
1040900,M,35,Asia,D
1040901,M,35,South America,C
1040902,M,25,North America,D
1040903,M,25,Africa,D
1040904,M,25,Europe,D
1040905,M,25,North America,C
1040906,F,25,Asia,A
1040907,M,25,South America,A
1040908,M,25,Europe,D
1040909,M,25,Asia,B
1040910,F,18,Unknown,C
1040911,M,18,Europe,C
1040912,F,18,Asia,C
1040913,M,45,Asia,B
1040914,M,45,Unknown,D
1040915,M,25,Unknown,C
1040916,M,35,Unknown,C
1040917,M,25,Europe,D
1040918,M,18,Europe,C
1040919,M,25,North America,B
1040920,M,18,Africa,A
1040921,M,55,Asia,B
1040922,F,18,South America,D
1040923,M,18,Unknown,B
1040924,M,18,Africa,D
1040925,M,18,Asia,B
1040926,F,25,Unknown,D
1040927,M,18,Africa,C
1040928,M,18,North America,A
1040929,F,35,North America,D
1040930,F,18,Asia,B
1040931,M,25,Asia,A
1040932,M,55,North America,A
1040933,F,18,Unknown,B
1040934,M,45,Africa,D
1040935,M,35,Europe,A
1040936,F,25,Asia,C
1040937,M,25,North America,B
1040938,M,18,North America,D
1040939,M,45,Europe,C
1040940,M,18,Unknown,C
1040941,M,18,North America,D
1040942,M,55,Africa,D
1040943,M,18,Asia,A
1040944,M,18,Unknown,B
1040945,M,35,North America,D
1040946,M,18,Africa,C
1040947,M,25,Unknown,C
1040948,M,18,Unknown,C
1040949,M,25,Unknown,C
1040950,F,25,South America,B
1040951,M,25,Asia,C
1040952,M,25,Africa,B
1040953,M,25,Asia,D
1040954,F,25,North America,B
1040955,M,35,Asia,A
1040956,M,18,North America,A
1040957,F,35,Europe,D
1040958,F,35,South America,A
1040959,M,18,Europe,D
1040960,M,35,North America,D
1040961,F,25,South America,C
1040962,F,25,Europe,B
1040963,F,18,Australia,C
1040964,M,35,Asia,D
1040965,M,45,North America,A
1040966,M,18,Africa,D
1040967,M,25,North America,B
1040968,F,25,Europe,B
1040969,M,25,North America,A
1040970,M,25,Unknown,D
1040971,M,35,South America,D
1040972,M,18,North America,A
1040973,F,25,Asia,D
1040974,M,55,North America,B
1040975,M,25,Unknown,D
1040976,M,0,Africa,A
1040977,F,45,Asia,C
1040978,F,25,Asia,B
1040979,M,18,Europe,B
1040980,M,35,North America,C
1040981,M,35,North America,C
1040982,M,25,North America,D
1040983,F,25,Africa,D
1040984,M,18,North America,C
1040985,M,25,Australia,C
1040986,M,18,Unknown,B
1040987,M,0,North America,B
1040988,F,25,Africa,A
1040989,F,18,Unknown,D
1040990,M,35,Europe,C
1040991,F,18,Europe,A
1040992,M,18,Europe,C
1040993,M,18,North America,C
1040994,M,18,Europe,D
1040995,M,25,Unknown,D
1040996,M,45,Asia,C
1040997,M,25,Unknown,C
1040998,M,18,Europe,C
1040999,M,18,Asia,C
1041000,M,18,Europe,B
1041001,M,25,Europe,C
1041002,M,25,Africa,A
1041003,M,18,Unknown,C
1041004,M,35,North America,A
1041005,F,35,North America,A
1041006,M,25,North America,C
1041007,M,18,North America,B
1041008,M,25,Europe,B
1041009,M,18,Africa,D
1041010,M,25,Europe,A
1041011,M,35,Asia,C
1041012,F,25,North America,A
1041013,M,25,Europe,B
1041014,F,18,Africa,A
1041015,M,45,Unknown,D
1041016,F,0,Asia,A
1041017,M,45,North America,D
1041018,M,35,North America,A
1041019,M,25,North America,D
1041020,M,18,Africa,C
1041021,M,35,Africa,A
1041022,M,18,Europe,D
